season,Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Matches
2016,12,Jami Kranich,us USA,GK,Boston Breakers,9,9,810,25,2.78,64.0,39.0,0.609,2,0,7,2,22.2,Matches
2016,13,Stephanie Labbé,ca CAN,GK,Washington Spirit,8,8,720,7,0.87,29.0,22.0,0.759,5,1,2,5,62.5,Matches
2016,14,Alyssa Naeher,us USA,GK,Chicago Red Stars,13,13,1170,13,1.0,45.0,32.0,0.711,6,4,3,6,46.2,Matches
2016,15,Katelyn Rowland,us USA,GK,Western New York Flash,6,6,540,8,1.33,21.0,13.0,0.619,3,2,1,1,16.7,Matches
2016,16,Kaitlyn Savage,,GK,Orlando Pride,4,4,360,8,2.0,23.0,15.0,0.652,1,0,3,0,0.0,Matches
2016,17,Abby Smith,us USA,GK,Boston Breakers,2,2,122,1,0.74,7.0,6.0,0.857,0,0,1,0,0.0,Matches
2016,18,Hope Solo,us USA,GK,Seattle,8,8,720,5,0.62,27.0,22.0,0.815,3,3,2,5,62.5,Matches
2016,19,Caroline Stanley,us USA,GK,Sky Blue FC,11,11,940,16,1.53,53.0,37.0,0.698,2,4,4,3,27.3,Matches
2016,20,Libby Stout,us USA,GK,Boston Breakers,10,9,868,21,2.18,63.0,42.0,0.667,1,2,7,1,11.1,Matches
2016,21,Andi Tostanoski,us USA,GK,Seattle,2,1,136,3,1.99,11.0,8.0,0.727,0,1,1,0,0.0,Matches
2016,22,Lydia Williams,au AUS,GK,Houston Dash,15,15,1350,22,1.47,78.0,56.0,0.718,5,2,8,1,6.7,Matches
2016,23,Kelsey Wys,us USA,GK,Washington Spirit,12,12,1080,14,1.17,70.0,56.0,0.8,7,2,3,2,16.7,Matches
2017,1,Nicole Barnhart,us USA,GK,Kansas City,24,24,2160,22,0.92,,,,8,7,9,6,25.0,Matches
2017,2,Aubrey Bledsoe,us USA,GK,Orlando,11,11,990,11,1.0,,,,5,2,4,2,18.2,Matches
2017,3,Jane Campbell,us USA,GK,Houston,16,16,1440,15,0.94,,,,5,3,8,3,18.8,Matches
2017,4,Caroline Casey,us USA,GK,Sky Blue,2,2,180,4,2.0,,,,1,1,0,0,0.0,Matches
2017,5,Sabrina D'Angelo,ca CAN,GK,North Carolina,8,8,720,0,0.0,,,,5,0,3,4,50.0,Matches
2017,6,Michele Dalton,us USA,GK,Chicago,2,2,180,5,2.5,,,,0,0,2,0,0.0,Matches
2017,7,Adrianna Franch,us USA,GK,Portland,24,24,2160,12,0.5,,,,14,5,5,11,45.8,Matches
2017,8,DiDi Haracic,ba BIH,GK,Washington,7,7,630,18,2.57,,,,1,1,5,0,0.0,Matches
2017,9,Ashlyn Harris,us USA,GK,Orlando,13,13,1106,7,0.57,,,,6,5,2,2,15.4,Matches
2017,10,Haley Kopmeyer,us USA,GK,Seattle,20,20,1800,20,1.0,,,,7,6,7,2,10.0,Matches
2017,11,Stephanie Labbé,ca CAN,GK,Washington,17,17,1530,13,0.76,,,,4,3,10,2,11.8,Matches
2017,12,Alyssa Naeher,us USA,GK,Chicago,22,22,1980,17,0.77,,,,11,6,5,6,27.3,Matches
2017,13,Sammy Prudhomme,us USA,GK,Boston,5,5,450,3,0.6,,,,1,3,1,3,60.0,Matches
2017,14,Katelyn Rowland,us USA,GK,North Carolina,16,16,1440,11,0.69,,,,11,1,4,8,50.0,Matches
2017,15,Madalyn Schiffel,de GER,GK,Seattle,1,1,90,2,2.0,,,,1,0,0,0,0.0,Matches
2017,16,Kailen Sheridan,ca CAN,GK,Sky Blue,22,22,1980,33,1.5,,,,9,2,11,3,13.6,Matches
