season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2013,112,Caroline Miller,us USA,FW,Washington Spirit,21.0,1991.0,7,1,,0.0,0.0,0.0,0.0,0.0,0.0
2013,113,Alex Morgan,us USA,FW,Portland Thorns FC,23.0,1989.0,18,18,1525.0,8.0,5.0,1.0,1.0,4.0,0.0
2013,114,Carmelina Moscato,ca CAN,DF,Boston Breakers,28.0,1984.0,5,1,76.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,115,Carmelina Moscato,ca CAN,DF,Chicago Red Stars,28.0,1984.0,5,4,363.0,0.0,0.0,0.0,0.0,1.0,0.0
2013,116,Alyssa Naeher,us USA,GK,Boston Breakers,24.0,1988.0,9,8,765.0,,,0.0,0.0,,
2013,117,Christine Nairn,us USA,MF,Seattle,22.0,1990.0,22,22,,3.0,5.0,0.0,1.0,2.0,0.0
2013,118,Ashley Nick,us USA,MF,Sky Blue FC,25.0,1987.0,3,2,,0.0,0.0,0.0,0.0,0.0,0.0
2013,119,Natalie Norris,us USA,DF,FC Kansas City,22.0,1990.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,120,Teresa Noyola,mx MEX,"FW,MF",Seattle,22.0,1990.0,11,8,,1.0,1.0,0.0,0.0,0.0,0.0
2013,121,Teresa Noyola,mx MEX,"FW,MF",FC Kansas City,22.0,1990.0,7,1,155.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,122,Kelley O'Hara,us USA,"DF,FW",Sky Blue FC,24.0,1988.0,12,10,,0.0,3.0,0.0,0.0,2.0,0.0
2013,123,Emilee O'Neil,us USA,"DF,MF",Portland Thorns FC,29.0,1983.0,4,1,141.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,124,Heather O'Reilly,us USA,"FW,MF",Boston Breakers,28.0,1985.0,20,20,1734.0,5.0,6.0,1.0,1.0,1.0,0.0
2013,125,Mónica Ocampo,mx MEX,FW,Sky Blue FC,26.0,1987.0,16,9,,8.0,2.0,0.0,0.0,0.0,0.0
2013,126,Stephanie Ochs,us USA,FW,Washington Spirit,22.0,1990.0,22,21,,1.0,2.0,0.0,0.0,0.0,0.0
2013,127,Leslie Osborne,us USA,MF,Chicago Red Stars,29.0,1983.0,18,18,1550.0,1.0,0.0,0.0,0.0,2.0,0.0
2013,128,Lyndsey Patterson,us USA,"FW,MF",Seattle,30.0,1982.0,3,0,,0.0,0.0,0.0,0.0,0.0,0.0
2013,129,Christie Pearce,us USA,DF,Sky Blue FC,37.0,1975.0,20,20,,0.0,0.0,0.0,0.0,0.0,0.0
2013,130,Veronica Perez,,,Western New York Flash,34.0,1979.0,22,11,1.0,1.0,,0.0,0.0,0.0,0.0
2013,131,Ashley Phillips,us USA,GK,Boston Breakers,26.0,1986.0,11,11,945.0,,,0.0,0.0,,
2013,132,Conny Pohlers,de GER,FW,Washington Spirit,34.0,1978.0,13,12,,1.0,0.0,0.0,0.0,2.0,0.0
2013,133,Toni Pressley,us USA,DF,Washington Spirit,22.0,1990.0,8,8,,0.0,0.0,0.0,0.0,1.0,0.0
2013,134,Rachel Quon,ca CAN,DF,Chicago Red Stars,21.0,1991.0,19,16,1531.0,0.0,1.0,0.0,0.0,1.0,0.0
2013,135,Casey Ramirez,us USA,DF,Portland Thorns FC,23.0,1989.0,4,1,159.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,136,Nayeli Rangel,mx MEX,MF,Sky Blue FC,20.0,1992.0,10,5,,0.0,0.0,0.0,0.0,0.0,0.0
2013,137,Megan Rapinoe,us USA,"FW,MF",Seattle,27.0,1985.0,12,11,,5.0,1.0,0.0,0.0,1.0,0.0
2013,138,Elli Reed,us USA,"DF,MF",Seattle,23.0,1989.0,17,17,,0.0,2.0,0.0,0.0,2.0,0.0
2013,139,Katherine Reynolds,us USA,DF,Western New York Flash,25.0,1987.0,22,22,,2.0,,0.0,0.0,2.0,0.0
2013,140,Julia Roberts,us USA,MF,Washington Spirit,21.0,1991.0,20,19,,0.0,0.0,0.0,0.0,1.0,0.0
2013,141,Jodi-Ann Robinson,ca CAN,"FW,MF",Western New York Flash,23.0,1989.0,13,0,1.0,0.0,,0.0,0.0,1.0,0.0
2013,142,Jenny Ruiz,mx MEX,"DF,MF",Seattle,29.0,1983.0,7,4,,0.0,0.0,0.0,0.0,1.0,2.0
2013,143,Alex Sahlen,us USA,DF,Western New York Flash,30.0,1982.0,18,18,,3.0,,0.0,0.0,0.0,0.0
2013,144,Angela Salem,us USA,MF,Western New York Flash,24.0,1988.0,21,20,,0.0,,0.0,0.0,1.0,0.0
2013,145,Lianne Sanderson,eng ENG,FW,Boston Breakers,24.0,1988.0,22,21,1913.0,5.0,7.0,0.0,1.0,0.0,0.0
2013,146,Jackie Santacaterina,us USA,DF,Chicago Red Stars,25.0,1987.0,18,14,1316.0,3.0,1.0,0.0,0.0,1.0,0.0
2013,147,Cecilia Santiago,mx MEX,GK,Boston Breakers,18.0,1994.0,3,3,270.0,,,0.0,0.0,,
2013,148,Becky Sauerbrunn,us USA,DF,FC Kansas City,27.0,1985.0,19,19,1710.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,149,Sophie Schmidt,ca CAN,MF,Sky Blue FC,24.0,1988.0,19,18,,7.0,1.0,1.0,1.0,0.0,1.0
2013,150,Katie Schoepfer,us USA,FW,Boston Breakers,24.0,1988.0,20,14,1080.0,2.0,1.0,0.0,0.0,0.0,0.0
2013,151,Desiree Scott,ca CAN,MF,FC Kansas City,25.0,1987.0,20,20,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,152,Lauren Sesselmann,ca CAN,"DF,FW",FC Kansas City,29.0,1983.0,19,19,1633.0,0.0,0.0,0.0,0.0,3.0,1.0
2013,153,Meleana Shim,us USA,MF,Portland Thorns FC,21.0,1991.0,19,17,1416.0,5.0,2.0,0.0,0.0,1.0,0.0
2013,154,Jessica Shufelt,us USA,FW,Portland Thorns FC,22.0,1990.0,4,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,155,Kyah Simon,au AUS,FW,Boston Breakers,21.0,1991.0,17,11,1068.0,3.0,3.0,0.0,0.0,0.0,0.0
2013,156,Christine Sinclair,ca CAN,"FW,MF",Portland Thorns FC,29.0,1983.0,20,20,1783.0,8.0,2.0,2.0,2.0,2.0,0.0
2013,157,Julianne Sitch,us USA,"DF,MF",Chicago Red Stars,29.0,1983.0,20,18,1577.0,1.0,4.0,0.0,0.0,1.0,0.0
2013,158,Hope Solo,us USA,GK,Seattle,31.0,1981.0,14,14,1260.0,,,0.0,0.0,,
2013,159,Jasmyne Spencer,us USA,FW,Washington Spirit,22.0,1990.0,17,6,,0.0,1.0,0.0,0.0,0.0,0.0
2013,160,Pamela Tajonar,mx MEX,GK,Western New York Flash,28.0,1984.0,1,0,2.0,,,0.0,0.0,,
2013,161,Lindsay Taylor,us USA,FW,Seattle,23.0,1989.0,6,4,,1.0,0.0,0.0,0.0,0.0,0.0
