season,page,oddsportal_event_id,oddsportal_encoded_event_id,oddsportal_url,match_datetime,match_date,home_team_raw,away_team_raw,home_team,away_team,home_key,away_key,home_result,away_result,result,home_avg_odds,draw_avg_odds,away_avg_odds,home_max_odds,draw_max_odds,away_max_odds
2026,2,9937873,2R10BylA,/football/h2h/boston-legacy-I7e4N6Na/chicago-stars-I9zHnxqt/#2R10BylA,2026-04-25T22:30:00+00:00,2026-04-25,Chicago W,Boston Legacy W,Chicago Stars,Boston Legacy,chicago stars,boston legacy,2,0,2:0,3.0,3.1,2.1,3.0,3.1,2.1
2026,2,9937871,rPoaDcJc,/football/h2h/bay-fc-4QbExvzF/gotham-fc-l8iSqzTb/#rPoaDcJc,2026-04-25T17:00:00+00:00,2026-04-25,Gotham W,Bay FC W,Gotham FC,Bay FC,gotham fc,bay fc,3,0,3:0,1.44,4.1,6.5,1.46,4.3,7.0
2026,2,9937867,WpIteG3T,/football/h2h/kansas-city-current-nHE01nbk/washington-spirit-Iw8EhkKp/#WpIteG3T,2026-04-25T00:00:00+00:00,2026-04-25,Washington Spirit W,Kansas City Current W,Washington Spirit,Current,washington spirit,current,4,0,4:0,1.98,3.3,3.2,1.98,3.3,3.2
2026,2,9937865,OKEYdxZG,/football/h2h/orlando-pride-MqPAFyfb/racing-louisville-08vkTDXh/#OKEYdxZG,2026-04-24T21:30:00+00:00,2026-04-24,Racing Louisville W,Orlando Pride W,Racing Louisville,Orlando Pride,racing louisville,orlando pride,3,2,3:2,3.3,3.4,1.9,3.3,3.4,1.9
2026,2,9937863,25QPbb44,/football/h2h/bay-fc-4QbExvzF/washington-spirit-Iw8EhkKp/#25QPbb44,2026-04-05T21:00:00+00:00,2026-04-05,Bay FC W,Washington Spirit W,Bay FC,Washington Spirit,bay fc,washington spirit,0,2,0:2,4.5,3.6,1.61,4.5,3.6,1.61
2026,2,9937861,Ac8I0KZi,/football/h2h/denver-summit-x2WvVrRL/seattle-reign-OjKxRp5M/#Ac8I0KZi,2026-04-05T00:45:00+00:00,2026-04-05,Seattle Reign W,Denver Summit W,Reign,Denver Summit FC,reign,denver summit fc,0,0,0:0,1.98,3.2,3.2,1.98,3.2,3.2
2026,2,9937857,O23bePcC,/football/h2h/north-carolina-courage-QNeQX1Ir/portland-thorns-fc-h6A8LOSq/#O23bePcC,2026-04-04T22:30:00+00:00,2026-04-04,North Carolina Courage W,Portland Thorns W,NC Courage,Portland Thorns,nc courage,portland thorns,2,2,2:2,2.45,3.1,2.6,2.45,3.1,2.6
2026,2,9937855,SzAkcoTa,/football/h2h/gotham-fc-l8iSqzTb/kansas-city-current-nHE01nbk/#SzAkcoTa,2026-04-04T20:00:00+00:00,2026-04-04,Kansas City Current W,Gotham W,Current,Gotham FC,current,gotham fc,2,1,2:1,2.45,3.0,2.6,2.45,3.0,2.6
2026,2,9937853,tKBsa7bm,/football/h2h/chicago-stars-I9zHnxqt/utah-royals-z7PteVfk/#tKBsa7bm,2026-04-04T01:00:00+00:00,2026-04-04,Utah Royals W,Chicago W,Royals,Chicago Stars,royals,chicago stars,1,0,1:0,1.58,3.8,4.5,1.58,3.8,4.5
2026,2,9937851,dnzB4TzQ,/football/h2h/houston-dash-M5AysivR/racing-louisville-08vkTDXh/#dnzB4TzQ,2026-04-04T00:30:00+00:00,2026-04-04,Houston Dash W,Racing Louisville W,Houston Dash,Racing Louisville,houston dash,racing louisville,4,3,4:3,2.3,3.3,2.55,2.3,3.3,2.55
2026,2,9937845,00j8p8qf,/football/h2h/angel-city-bRtQszad/orlando-pride-MqPAFyfb/#00j8p8qf,2026-04-04T00:00:00+00:00,2026-04-04,Orlando Pride W,Angel City W,Orlando Pride,Angel City FC,orlando pride,angel city fc,2,1,2:1,1.72,3.5,3.9,1.72,3.5,3.9
2026,2,9937847,YDlGrnE6,/football/h2h/boston-legacy-I7e4N6Na/san-diego-wave-QXU76Jyc/#YDlGrnE6,2026-04-03T23:00:00+00:00,2026-04-03,Boston Legacy W,San Diego Wave W,Boston Legacy,SD Wave,boston legacy,sd wave,0,1,0:1,3.1,3.3,1.98,3.1,3.3,1.98
2026,2,9937843,61canUEs,/football/h2h/gotham-fc-l8iSqzTb/orlando-pride-MqPAFyfb/#61canUEs,2026-03-29T23:00:00+00:00,2026-03-29,Gotham W,Orlando Pride W,Gotham FC,Orlando Pride,gotham fc,orlando pride,0,0,0:0,2.0,3.2,3.2,2.0,3.2,3.2
2026,2,9937841,zJ6TijiK,/football/h2h/chicago-stars-I9zHnxqt/san-diego-wave-QXU76Jyc/#zJ6TijiK,2026-03-29T00:45:00+00:00,2026-03-29,San Diego Wave W,Chicago W,SD Wave,Chicago Stars,sd wave,chicago stars,2,0,2:0,1.33,5.0,6.5,1.33,5.0,6.5
2026,2,9937839,fNTtUnaD,/football/h2h/bay-fc-4QbExvzF/north-carolina-courage-QNeQX1Ir/#fNTtUnaD,2026-03-28T23:00:00+00:00,2026-03-28,North Carolina Courage W,Bay FC W,NC Courage,Bay FC,nc courage,bay fc,1,3,1:3,1.71,3.4,4.1,1.71,3.4,4.1
2026,2,9937835,tpeYXUal,/football/h2h/racing-louisville-08vkTDXh/seattle-reign-OjKxRp5M/#tpeYXUal,2026-03-28T22:30:00+00:00,2026-03-28,Seattle Reign W,Racing Louisville W,Reign,Racing Louisville,reign,racing louisville,2,1,2:1,1.95,3.2,3.3,1.95,3.2,3.3
2026,2,9937833,pE92wixR,/football/h2h/kansas-city-current-nHE01nbk/portland-thorns-fc-h6A8LOSq/#pE92wixR,2026-03-28T20:00:00+00:00,2026-03-28,Portland Thorns W,Kansas City Current W,Portland Thorns,Current,portland thorns,current,2,0,2:0,3.1,3.25,2.0,3.1,3.25,2.0
2026,2,9937827,0QZbJVpe,/football/h2h/boston-legacy-I7e4N6Na/utah-royals-z7PteVfk/#0QZbJVpe,2026-03-28T16:00:00+00:00,2026-03-28,Boston Legacy W,Utah Royals W,Boston Legacy,Royals,boston legacy,royals,1,2,1:2,1.85,3.3,3.5,1.85,3.3,3.5
2026,2,9937825,fTWjLiGr,/football/h2h/angel-city-bRtQszad/houston-dash-M5AysivR/#fTWjLiGr,2026-03-28T02:00:00+00:00,2026-03-28,Angel City W,Houston Dash W,Angel City FC,Houston Dash,angel city fc,houston dash,2,1,2:1,1.75,3.3,4.1,1.75,3.3,4.1
2026,2,9937823,zqjKQDhL,/football/h2h/portland-thorns-fc-h6A8LOSq/san-diego-wave-QXU76Jyc/#zqjKQDhL,2026-03-26T02:00:00+00:00,2026-03-26,San Diego Wave W,Portland Thorns W,SD Wave,Portland Thorns,sd wave,portland thorns,3,1,3:1,2.0,3.25,3.1,2.0,3.25,3.1
2026,2,9937821,2ViCSZN8,/football/h2h/kansas-city-current-nHE01nbk/seattle-reign-OjKxRp5M/#2ViCSZN8,2026-03-26T01:00:00+00:00,2026-03-26,Seattle Reign W,Kansas City Current W,Reign,Current,reign,current,3,0,3:0,3.2,3.1,2.05,3.2,3.1,2.05
2026,2,9937819,nN9P4WV1,/football/h2h/chicago-stars-I9zHnxqt/orlando-pride-MqPAFyfb/#nN9P4WV1,2026-03-26T00:00:00+00:00,2026-03-26,Chicago W,Orlando Pride W,Chicago Stars,Orlando Pride,chicago stars,orlando pride,0,3,0:3,4.0,3.4,1.72,4.0,3.4,1.72
2026,3,9937813,YieyRMn4,/football/h2h/denver-summit-x2WvVrRL/gotham-fc-l8iSqzTb/#YieyRMn4,2026-03-25T23:00:00+00:00,2026-03-25,Gotham W,Denver Summit W,Gotham FC,Denver Summit FC,gotham fc,denver summit fc,0,2,0:2,1.47,3.9,5.5,1.47,3.9,5.5
2026,3,9937815,tIbqP0HG,/football/h2h/utah-royals-z7PteVfk/washington-spirit-Iw8EhkKp/#tIbqP0HG,2026-03-25T23:00:00+00:00,2026-03-25,Washington Spirit W,Utah Royals W,Washington Spirit,Royals,washington spirit,royals,1,1,1:1,1.38,4.5,6.0,1.38,4.5,6.0
2026,3,9937811,xQ1SSrIi,/football/h2h/san-diego-wave-QXU76Jyc/utah-royals-z7PteVfk/#xQ1SSrIi,2026-03-22T23:00:00+00:00,2026-03-22,Utah Royals W,San Diego Wave W,Royals,SD Wave,royals,sd wave,1,2,1:2,2.95,3.3,2.1,2.95,3.3,2.1
