season,match_date,home_team,away_team,home_xg,away_xg,home_xg_players,away_xg_players,home_xpoints,away_xpoints,asa_game_id
2025,2025-05-16,Gotham FC,SD Wave,0.5308,0.5262,0.531,0.5262,1.297,1.246,odMXpd4WMY
2025,2025-05-12,Reign,Houston Dash,0.49760000000000004,0.6456000000000001,0.49760000000000004,0.6456000000000001,1.143,1.425,9YqdjGXLMv
2025,2025-05-11,Current,Bay FC,2.8768000000000002,0.5018,2.8783,0.5044000000000001,2.766,0.165,Vj58bpE4Q8
2025,2025-05-11,SD Wave,Portland Thorns,0.7183,2.553,0.7649,2.5602,0.23900000000000002,2.624,OlMljV70qL
2025,2025-05-10,NC Courage,Orlando Pride,0.8130000000000001,1.6255,0.9024000000000001,1.6805,0.735,2.004,a35rj2dA5L
2025,2025-05-10,Chicago Stars,Washington Spirit,1.8261,1.5739,1.8368,1.5739,1.512,1.206,2vQ1bDaKMr
2025,2025-05-10,Angel City FC,Royals,2.1156,0.766,2.1175,0.766,2.298,0.495,eV5DpomA5K
2025,2025-05-10,Racing Louisville,Gotham FC,0.4549,0.9946,0.4575,0.9946,0.807,1.854,7vQ7bja2qD
2025,2025-05-05,SD Wave,Bay FC,1.8865,0.5309,1.8895,0.5309,2.453,0.371,raMyj2LO5d
2025,2025-05-04,Gotham FC,Chicago Stars,1.1465,0.33590000000000003,1.1533,0.33590000000000003,2.065,0.607,gjMNpdn0qK
2025,2025-05-04,Royals,NC Courage,0.8609,1.9162000000000001,0.8609,1.9903,0.5750000000000001,2.207,Pk5LpdmO5O
2025,2025-05-03,Portland Thorns,Orlando Pride,1.8741,1.1556,1.8949,1.1658,1.91,0.857,EGMPadeV5a
2025,2025-05-03,Reign,Current,0.3774,1.0494,0.40190000000000003,1.0494,0.716,1.952,315VpEZ9Q9
2025,2025-05-03,Houston Dash,Racing Louisville,1.0012,0.676,1.1031,0.6769000000000001,1.698,0.987,9z5kjk9jMA
2025,2025-05-03,Washington Spirit,Angel City FC,1.9022000000000001,2.8244000000000002,1.9457,2.8865,0.8140000000000001,1.987,wvq9b8awQW
2025,2025-04-27,Portland Thorns,Racing Louisville,2.3731,2.6545,2.3803,3.0996,1.211,1.544,2lqRpdZ0Mr
2025,2025-04-27,Bay FC,Reign,0.724,1.1572,0.7259,1.1572,0.9540000000000001,1.743,vzqoKN9kqa
2025,2025-04-26,Chicago Stars,SD Wave,0.8347,0.9844,0.8474,0.9887,1.189,1.486,gOMnALrXQw
2025,2025-04-26,NC Courage,Current,1.0212,1.1266,1.0225,1.1316,1.298,1.394,gpMOpdOE5z
2025,2025-04-26,Washington Spirit,Gotham FC,1.9145,1.5139,1.9145,1.5271000000000001,1.607,1.094,0Oq6bZ8Aq6
2025,2025-04-26,Orlando Pride,Angel City FC,1.3128,0.529,1.3131,0.5371,2.005,0.685,0x5gjneZM7
2025,2025-04-26,Houston Dash,Royals,0.7343000000000001,0.9228000000000001,0.7343000000000001,0.9272,1.167,1.491,7VqGbYV65v
2025,2025-04-23,Portland Thorns,Gotham FC,1.9776,0.591,2.0108,0.591,2.488,0.334,NWMWp4EK5l
2025,2025-04-19,Current,Houston Dash,1.6491,0.434,1.6491,0.434,2.432,0.38,KAqBbOL4qb
2025,2025-04-19,NC Courage,Bay FC,0.40640000000000004,0.5327000000000001,0.40640000000000004,0.5365,1.14,1.371,eVq3bDkD5W
2025,2025-04-19,Orlando Pride,Washington Spirit,1.5594000000000001,1.1661,1.6013,1.1776,1.595,1.148,Oa5wj2L8M1
2025,2025-04-19,Racing Louisville,SD Wave,1.4348,0.927,1.4389,0.927,1.855,0.865,jYQJmLDPqG
2025,2025-04-19,Angel City FC,Gotham FC,0.4959,1.3147,0.5094000000000001,1.3424,0.74,1.964,2lqRpdZAMr
2025,2025-04-19,Reign,Portland Thorns,1.0237,1.2004,1.026,1.2051,1.224,1.464,vzqoKN9Zqa
2025,2025-04-19,Royals,Chicago Stars,1.0052,0.6596000000000001,1.0052,0.6596000000000001,1.746,0.891,gOMnALrOQw
2025,2025-04-13,Bay FC,Chicago Stars,1.3732,1.5551,1.3941000000000001,1.5551,1.207,1.477,gpMOpdO25z
2025,2025-04-13,Gotham FC,NC Courage,2.3478,0.4867,2.3642,0.4867,2.599,0.256,0Oq6bZ8dq6
2025,2025-04-13,SD Wave,Current,0.7716000000000001,1.1775,0.7789,1.2509000000000001,0.936,1.734,7VqGbYVW5v
2025,2025-04-12,Reign,Orlando Pride,1.7699,1.5341,1.783,1.5341,1.539,1.191,0x5gjnebM7
2025,2025-04-12,Houston Dash,Angel City FC,1.9696,1.4763,2.1258,1.4824,1.679,1.058,KAqBbOLvqb
2025,2025-04-12,Racing Louisville,Washington Spirit,0.6772,0.7347,0.6772,0.7408,1.239,1.395,NWMWp4Ej5l
2025,2025-04-12,Royals,Portland Thorns,0.8814000000000001,2.0562,0.8814000000000001,2.2933,0.428,2.339,eVq3bDky5W
2025,2025-03-31,Angel City FC,Reign,1.0864,1.1693,1.0869,1.1696,1.194,1.494,Oa5wj2LAM1
2025,2025-03-30,Chicago Stars,Racing Louisville,0.8525,1.904,0.854,2.3393,0.588,2.193,jYQJmLDBqG
2025,2025-03-30,Portland Thorns,NC Courage,1.6222,2.2292,1.6544,2.3812,0.9590000000000001,1.808,Xj5YpdZwMb
2025,2025-03-29,Current,Royals,3.3313,0.333,3.333,0.333,2.901,0.06,N6MmbPre5E
2025,2025-03-29,Orlando Pride,SD Wave,1.6384,0.17070000000000002,1.6384,0.17220000000000002,2.651,0.203,e7Mzj2p9Mr
2025,2025-03-29,Houston Dash,Gotham FC,0.11030000000000001,0.4731,0.11030000000000001,0.4731,0.8,1.604,ljqEmRAAqx
2025,2025-03-29,Washington Spirit,Bay FC,1.0836,0.6696000000000001,1.1001,0.6696000000000001,1.79,0.857,p6qbjG88q0
2025,2025-03-23,Gotham FC,Orlando Pride,1.1838,1.0967,1.1838,1.1102,1.369,1.309,BLMvj81AMx
2025,2025-03-23,Chicago Stars,Houston Dash,0.7491,1.6835,0.7491,1.7107,0.652,2.101,XVqKzJ1K50
2025,2025-03-23,Bay FC,Racing Louisville,0.4782,0.9705,0.4782,0.9722000000000001,0.9,1.728,4wM4bRykqj
2025,2025-03-23,SD Wave,Royals,1.1671,0.9585,1.1671,0.9585,1.569,1.131,zeQZpPOx5K
2025,2025-03-22,Washington Spirit,Current,1.0212,3.3212,1.0324,3.5387,0.214,2.698,4JMAbXwl5K
2025,2025-03-22,NC Courage,Reign,1.2891,1.0141,1.3069,1.0168,1.578,1.11,kRQajgrmMK
2025,2025-03-22,Portland Thorns,Angel City FC,1.5552,0.6746,1.5671,0.6746,2.108,0.638,xW5pb8nGQg
2025,2025-03-16,Angel City FC,SD Wave,0.8654000000000001,1.0887,0.8937,1.09,1.151,1.55,KPqjjVEnq6
2025,2025-03-16,Reign,Gotham FC,1.0308,1.4024,1.1735,1.4086,1.074,1.635,aDQ0b6oB5E
2025,2025-03-16,Racing Louisville,NC Courage,1.4978,1.214,1.5050000000000001,1.214,1.588,1.132,9vQ2bnVYQK
2025,2025-03-15,Royals,Bay FC,0.7007,1.1685,0.7007,1.1685,0.91,1.786,NPqxj8dGM9
2025,2025-03-15,Current,Portland Thorns,1.9829,1.4012,1.9844,1.418,1.796,0.9380000000000001,odMXpkWrMY
2025,2025-03-15,Houston Dash,Washington Spirit,1.1262,1.2828,1.1316,1.3533,1.223,1.439,9YqdjO2jMv
2025,2025-03-15,Orlando Pride,Chicago Stars,2.3971,0.9863000000000001,2.4243,1.0274,2.27,0.521,KXMeZn0X56
2025,2025-03-08,Orlando Pride,Washington Spirit,0.9781000000000001,0.5577,0.9974000000000001,0.5624,0.0,0.0,aDQ0b6JW5E
2026,2026-07-19,Boston Legacy,Washington Spirit,1.1683000000000001,0.9154,1.1683000000000001,0.9154,1.569,1.122,eVq36GDX5W
2026,2026-07-19,Racing Louisville,Houston Dash,1.6968,0.7385,2.4529,0.7557,2.159,0.629,jYQJJxLZQG
2026,2026-07-19,Royals,Orlando Pride,0.8105,0.2232,0.8139000000000001,0.23120000000000002,1.91,0.6980000000000001,Oa5wPG2Dq1
2026,2026-07-18,Chicago Stars,Angel City FC,0.3885,2.6717,0.3917,2.7067,0.136,2.773,Xj5YPvdyMb
2026,2026-07-18,Bay FC,NC Courage,1.7584,1.1921,1.7584,1.1948,1.813,0.9400000000000001,N6MmgvPWqE
2026,2026-07-18,Gotham FC,Reign,1.9696,2.3556,1.9885000000000002,2.4231,1.063,1.723,ljqEd8RV5x
2026,2026-07-18,Denver Summit,Portland Thorns,1.1618,1.6124,1.2319,1.6126,1.042,1.666,e7Mzyn2JQr
2026,2026-07-18,Current,SD Wave,0.5915,1.9104,0.5933,1.9973,0.315,2.514,p6qbYEWX50
2026,2026-07-16,Gotham FC,Washington Spirit,0.5792,1.2104,0.5792,1.2832000000000001,0.744,1.944,BLMvVg2lMx
2026,2026-07-15,Orlando Pride,Boston Legacy,1.1047,0.4258,1.1056,0.4258,1.905,0.771,XVqKw0NWq0
2026,2026-07-12,Denver Summit,Houston Dash,2.8523,1.3452,2.8765,1.3601,2.395,0.442,zeQZLvdY5K
2026,2026-07-12,Reign,Portland Thorns,1.6107,1.5949,1.6442,1.6134,1.456,1.297,4wM4O6RyQj
2026,2026-07-12,SD Wave,Angel City FC,2.6564,1.9907000000000001,2.6756,1.9907000000000001,1.8860000000000001,0.878,4JMA1DX2MK
2026,2026-07-11,NC Courage,Washington Spirit,1.2227000000000001,1.2329,1.2619,1.2329,1.334,1.373,kRQalvgkqK
2026,2026-07-11,Royals,Gotham FC,1.6349,1.9652,1.7355,1.9652,1.176,1.554,xW5pOv8RMg
2026,2026-07-11,Orlando Pride,Current,0.8188000000000001,1.8192,0.8188000000000001,1.8293000000000001,0.677,2.081,KPqj3vV2Q6
2026,2026-07-11,Boston Legacy,Chicago Stars,3.0345,1.3756,3.0347,1.3756,2.355,0.483,NPqxL68Wq9
2026,2026-07-11,Racing Louisville,Bay FC,0.5004000000000001,2.8134,0.5004000000000001,2.8966,0.094,2.854,aDQ0WB6GqE
2026,2026-07-05,Portland Thorns,Racing Louisville,1.649,1.2052,1.649,1.2083,1.698,1.044,9vQ2GgnLMK
2026,2026-07-05,Chicago Stars,Royals,1.726,2.1812,1.7973000000000001,2.1887,1.068,1.683,odMXVvkeqY
2026,2026-07-05,Boston Legacy,Bay FC,2.8821,1.7393,3.0407,1.74,2.174,0.632,KXMeXvnvQ6
