2026-03-15 00:01:59 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.595, defense=1.595)
2026-03-15 00:02:02 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1559, rho=0.0663, intercept=0.1982, n_teams=12
2026-03-15 00:02:02 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.599, defense=1.599)
2026-03-15 00:02:06 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.2036, rho=0.0568, intercept=0.1595, n_teams=12
2026-03-15 00:02:06 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.598, defense=1.598)
2026-03-15 00:02:10 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.2000, rho=0.0299, intercept=0.1593, n_teams=12
2026-03-15 00:02:10 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.598, defense=1.598)
2026-03-15 00:02:13 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1855, rho=0.0295, intercept=0.1698, n_teams=12
2026-03-15 00:02:13 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.592, defense=1.592)
2026-03-15 00:02:17 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1909, rho=0.0281, intercept=0.1542, n_teams=12
2026-03-15 00:02:17 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.592, defense=1.592)
2026-03-15 00:02:21 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1896, rho=0.0239, intercept=0.1498, n_teams=12
2026-03-15 00:02:21 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.592, defense=1.592)
2026-03-15 00:02:25 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1744, rho=-0.0108, intercept=0.1522, n_teams=12
2026-03-15 00:02:25 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.590, defense=1.590)
2026-03-15 00:02:29 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1578, rho=0.0011, intercept=0.1783, n_teams=12
2026-03-15 00:02:29 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.601, defense=1.601)
2026-03-15 00:02:33 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1547, rho=-0.0052, intercept=0.1757, n_teams=12
2026-03-15 00:02:33 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.606, defense=1.606)
2026-03-15 00:02:37 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1638, rho=-0.0060, intercept=0.1723, n_teams=12
2026-03-15 00:02:37 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.604, defense=1.604)
2026-03-15 00:02:41 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1872, rho=-0.0008, intercept=0.1747, n_teams=12
2026-03-15 00:02:41 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.603, defense=1.603)
2026-03-15 00:02:45 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1787, rho=-0.0010, intercept=0.1764, n_teams=12
2026-03-15 00:02:45 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.606, defense=1.606)
2026-03-15 00:02:49 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1711, rho=0.0384, intercept=0.1895, n_teams=12
2026-03-15 00:02:49 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.597, defense=1.597)
2026-03-15 00:02:52 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1808, rho=0.0327, intercept=0.1967, n_teams=12
2026-03-15 00:02:52 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.598, defense=1.598)
2026-03-15 00:02:56 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1684, rho=0.0324, intercept=0.2052, n_teams=12
2026-03-15 00:02:56 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.598, defense=1.598)
2026-03-15 00:02:59 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1661, rho=0.0517, intercept=0.2057, n_teams=12
2026-03-15 00:02:59 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.599, defense=1.599)
2026-03-15 00:03:03 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1715, rho=0.0494, intercept=0.1969, n_teams=12
2026-03-15 00:03:03 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.596, defense=1.596)
2026-03-15 00:03:07 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1258, rho=0.0555, intercept=0.2021, n_teams=12
2026-03-15 00:03:07 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.591, defense=1.591)
2026-03-15 00:03:11 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1351, rho=-0.0448, intercept=0.2007, n_teams=12
2026-03-15 00:03:11 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.598, defense=1.598)
2026-03-15 00:03:14 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1107, rho=-0.0471, intercept=0.2111, n_teams=12
2026-03-15 00:03:15 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.607, defense=1.607)
2026-03-15 00:03:19 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1253, rho=-0.0488, intercept=0.1955, n_teams=12
2026-03-15 00:03:19 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.597, defense=1.597)
2026-03-15 00:03:23 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1391, rho=-0.0464, intercept=0.1834, n_teams=12
2026-03-15 00:03:23 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.597, defense=1.597)
2026-03-15 00:03:27 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1367, rho=-0.0786, intercept=0.2027, n_teams=12
2026-03-15 00:03:27 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.604, defense=1.604)
2026-03-15 00:03:32 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1378, rho=-0.1013, intercept=0.2011, n_teams=12
2026-03-15 00:03:32 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.613, defense=1.613)
2026-03-15 00:03:36 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1455, rho=-0.1015, intercept=0.1947, n_teams=12
2026-03-15 00:03:36 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.614, defense=1.614)
2026-03-15 00:03:41 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1774, rho=-0.0632, intercept=0.1900, n_teams=12
2026-03-15 00:03:41 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.609, defense=1.609)
2026-03-15 00:03:45 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1869, rho=-0.0642, intercept=0.1859, n_teams=12
2026-03-15 00:03:45 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.607, defense=1.607)
2026-03-15 00:03:51 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1770, rho=-0.0550, intercept=0.2010, n_teams=12
2026-03-15 00:03:51 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.604, defense=1.604)
2026-03-15 00:03:55 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1444, rho=-0.0425, intercept=0.2069, n_teams=12
2026-03-15 00:03:56 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.602, defense=1.602)
2026-03-15 00:04:00 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1610, rho=-0.0463, intercept=0.1819, n_teams=12
2026-03-15 00:04:00 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.604, defense=1.604)
2026-03-15 00:04:04 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1435, rho=-0.0537, intercept=0.1786, n_teams=12
2026-03-15 00:04:04 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.606, defense=1.606)
2026-03-15 00:04:09 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1201, rho=-0.0455, intercept=0.1825, n_teams=12
2026-03-15 00:04:09 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.597, defense=1.597)
2026-03-15 00:04:13 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1315, rho=-0.0185, intercept=0.1935, n_teams=12
2026-03-15 00:04:13 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.594, defense=1.594)
2026-03-15 00:04:18 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1014, rho=-0.0158, intercept=0.2050, n_teams=12
2026-03-15 00:04:18 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.580, defense=1.580)
