ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
122,Shelby Hogan,usUSA,GK,Portland Thorns,24,1998,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
123,Rebecca Holloway,nirNIR,DF,Racing Louisville,27,1995,9,5,580.0,6.4,0,1,1,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,Matches
124,Shae Holmes,usUSA,DF,Reign,22,2000,5,2,223.0,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
125,Haley Hopkins,usUSA,"MF,FW",NC Courage,24,1998,13,4,431.0,4.8,1,1,2,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches
126,Jaelin Howell,usUSA,MF,Racing Louisville,23,1999,16,14,,14.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
127,Kelli Hubly,usUSA,DF,Portland Thorns,28,1994,21,17,,17.3,1,0,1,1,0,0,4,1,0.06,0.0,0.06,0.06,0.06,Matches
128,Sofia Huerta,usUSA,DF,Reign,30,1992,17,16,,16.2,1,2,3,0,1,1,2,0,0.06,0.12,0.19,0.0,0.12,Matches
129,Jordyn Huitema,caCAN,"FW,MF",Reign,21,2001,20,14,,15.7,5,0,5,5,0,1,1,0,0.32,0.0,0.32,0.32,0.32,Matches
130,Tori Huster,usUSA,"DF,MF",Washington Spirit,33,1989,1,0,20.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
131,Natalie Jacobs,usUSA,DF,Houston Dash,25,1997,20,20,,19.2,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,Matches
132,Sofia Jakobsson,seSWE,MF,SD Wave,32,1990,16,8,845.0,9.4,2,1,3,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32,Matches
133,Inès Jaurena,frFRA,MF,Washington Spirit,31,1991,13,12,909.0,10.1,0,1,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,Matches
134,Ellie Jean,usUSA,DF,Gotham FC,26,1997,15,10,958.0,10.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
135,Lindsi Jennings,,DF,Houston Dash,,,3,0,30.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
136,Celia Jiménez,esESP,DF,Orlando Pride,27,1995,8,1,196.0,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
137,Katie Johnson,mxMEX,FW,Angel City FC,28,1994,18,7,719.0,8.0,3,1,4,3,0,0,3,0,0.38,0.13,0.5,0.38,0.5,Matches
138,Júlia,brBRA,MF,Red Stars,25,1997,19,15,,14.8,0,5,5,0,0,0,3,0,0.0,0.34,0.34,0.0,0.34,Matches
139,Uchenna Kanu,ngNGA,FW,Racing Louisville,25,1997,16,4,494.0,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
140,Nahomi Kawasumi,jpJPN,"FW,MF",Gotham FC,37,1985,4,0,23.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
141,Kerolin,brBRA,"MF,FW",NC Courage,23,1999,19,19,,18.4,10,3,13,8,2,3,3,0,0.54,0.16,0.71,0.44,0.6,Matches
142,Thembi Kgatlana,zaRSA,"FW,MF",Racing Louisville,26,1996,14,7,735.0,8.2,2,1,3,2,0,0,3,0,0.24,0.12,0.37,0.24,0.37,Matches
143,Tziarra King,usUSA,"MF,FW",Reign,24,1998,14,9,660.0,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
144,Aubrey Kingsbury,usUSA,GK,Washington Spirit,31,1991,20,20,,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
145,Meghan Klingenberg,usUSA,DF,Portland Thorns,34,1988,20,20,,18.3,0,3,3,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,Matches
146,Amanda Kowalski,usUSA,DF,Red Stars,24,1998,2,0,54.0,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
147,Ali Krieger,usUSA,DF,Gotham FC,38,1984,17,17,,14.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
148,Casey Krueger,usUSA,DF,Red Stars,32,1990,20,20,,19.0,0,2,2,0,0,0,0,0,0.0,0.11,0.11,0.0,0.11,Matches
149,Civana Kuhlmann,usUSA,FW,Washington Spirit,23,1999,7,0,74.0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
150,Natalia Kuikka,fiFIN,DF,Portland Thorns,27,1995,21,20,,19.9,1,2,3,1,0,0,3,0,0.05,0.1,0.15,0.05,0.15,Matches
