ranker,player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,matches
102,Kiley Dulaney,,DF,Washington Spirit,,,0.1,,,,,,,,,,,,,,,,,,,,,Matches
103,Evelina Duljan,seSWE,MF,Houston Dash,21,2003,5.1,,,,,,,,,,,,,,,,,,,,,Matches
104,Kayla Duran,,DF,Gotham FC,,,1.1,,,,,,,,,,,,,,,,,,,,,Matches
105,Caprice Dydasco,usUSA,DF,Bay FC,31,1993,26.0,,,,,,,,,,,,,,,,,,,,,Matches
106,Cori Dyke,usUSA,DF,Orlando Pride,24,2000,13.0,,,,,,,,,,,,,,,,,,,,,Matches
107,Favour Emmanuel,ngNGA,MF,SD Wave,22,2002,0.8,,,,,,,,,,,,,,,,,,,,,Matches
108,Claire Emslie,sctSCO,"MF,FW",Angel City FC,30,1994,5.8,,,,,,,,,,,,,,,,,,,,,Matches
109,Jun Endō,jpJPN,"MF,FW",Angel City FC,24,2000,4.9,,,,,,,,,,,,,,,,,,,,,Matches
110,Laurina Fazer,frFRA,MF,SD Wave,21,2003,5.6,,,,,,,,,,,,,,,,,,,,,Matches
111,Bayley Feist,usUSA,MF,Current,27,1997,1.9,,,,,,,,,,,,,,,,,,,,,Matches
112,Kayla Fischer,usUSA,FW,Racing Louisville,25,2000,13.6,,,,,,,,,,,,,,,,,,,,,Matches
113,Mia Fishel,usUSA,"FW,MF",Reign,23,2001,3.8,,,,,,,,,,,,,,,,,,,,,Matches
114,Jess Fishlock,wlsWAL,"MF,FW",Reign,38,1987,8.9,,,,,,,,,,,,,,,,,,,,,Matches
115,Jessie Fleming,caCAN,MF,Portland Thorns,26,1998,18.9,,,,,,,,,,,,,,,,,,,,,Matches
116,Taylor Flint,usUSA,MF,Racing Louisville,26,1998,22.9,,,,,,,,,,,,,,,,,,,,,Matches
117,Lauren Flynn,usUSA,DF,Royals,22,2002,7.3,,,,,,,,,,,,,,,,,,,,,Matches
118,Dana Foederer,nlNED,MF,Royals,22,2002,11.7,,,,,,,,,,,,,,,,,,,,,Matches
119,Bea Franklin,usUSA,"MF,DF",Chicago Stars,24,2000,19.4,,,,,,,,,,,,,,,,,,,,,Matches
120,Macey Fraser,nzNZL,"MF,FW",Royals,22,2002,2.1,,,,,,,,,,,,,,,,,,,,,Matches
121,Mandy Freeman,usUSA,DF,Gotham FC,29,1995,14.1,,,,,,,,,,,,,,,,,,,,,Matches
122,Kennedy Fuller,usUSA,MF,Angel City FC,17,2007,20.6,,,,,,,,,,,,,,,,,,,,,Matches
