ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
337,Hina Sugita,jpJPN,MF,Angel City FC,28,1997,4,4,360.0,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
338,Hina Sugita,jpJPN,MF,Portland Thorns,28,1997,22,18,,17.1,0,3,3,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17,Matches
339,Kysha Sylla,frFRA,DF,Washington Spirit,20,2004,14,2,388.0,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
340,Mina Tanaka,jpJPN,MF,Royals,30,1994,23,22,,22.1,6,1,7,5,1,1,2,0,0.27,0.05,0.32,0.23,0.27,Matches
341,Ana Tejada,esESP,"MF,DF",Royals,22,2002,23,20,,18.6,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,Matches
342,Alyssa Thompson,usUSA,"MF,FW",Angel City FC,20,2004,16,16,,15.5,6,2,8,5,1,2,3,0,0.39,0.13,0.52,0.32,0.45,Matches
343,Gisele Thompson,usUSA,"DF,MF",Angel City FC,19,2005,23,21,,18.4,1,5,6,1,0,0,1,0,0.05,0.27,0.33,0.05,0.33,Matches
344,Janni Thomsen,dkDEN,DF,Royals,24,2000,26,20,,20.2,3,0,3,3,0,0,1,0,0.15,0.0,0.15,0.15,0.15,Matches
345,Riley Tiernan,usUSA,FW,Angel City FC,22,2002,26,26,,24.4,8,1,9,8,0,0,4,0,0.33,0.04,0.37,0.33,0.37,Matches
346,Pietra Tordin,usUSA,FW,Portland Thorns,20,2004,24,9,903.0,10.0,4,0,4,4,0,0,3,0,0.4,0.0,0.4,0.4,0.4,Matches
347,Kaitlyn Torpey,auAUS,DF,Portland Thorns,24,2000,18,13,,11.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
348,Taryn Torres,usUSA,MF,Gotham FC,25,1999,15,8,762.0,8.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
349,Reilyn Turner,usUSA,"FW,MF",Portland Thorns,22,2002,25,22,,20.2,5,1,6,5,0,0,2,0,0.25,0.05,0.3,0.25,0.3,Matches
350,Olivia Van der Jagt,usUSA,MF,Reign,25,1999,3,0,21.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
351,Kiki Van Zanten,jmJAM,MF,Houston Dash,23,2001,17,13,,12.3,2,1,3,2,0,0,1,0,0.16,0.08,0.24,0.16,0.24,Matches
352,Mary Vignola,usUSA,DF,Portland Thorns,26,1998,3,3,232.0,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
353,Mary Vignola,usUSA,"DF,MF",Angel City FC,26,1998,20,16,,14.9,1,2,3,1,0,0,1,0,0.07,0.13,0.2,0.07,0.2,Matches
354,Viviana Villacorta,usUSA,MF,Orlando Pride,25,1999,6,0,90.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
355,Cortnee Vine,auAUS,FW,NC Courage,26,1998,16,5,527.0,5.9,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,Matches
356,Ally Watt,usUSA,"MF,FW",Orlando Pride,27,1997,24,19,,17.2,2,2,4,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matches
357,Dani Weatherholt,usUSA,"DF,MF",NC Courage,30,1994,12,7,582.0,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
358,Sarah Weber,usUSA,"FW,MF",Racing Louisville,21,2003,25,14,,15.5,3,1,4,3,0,0,1,0,0.19,0.06,0.26,0.19,0.26,Matches
359,Kennedy Wesley,usUSA,DF,SD Wave,23,2001,22,20,,19.4,1,0,1,1,0,0,1,1,0.05,0.0,0.05,0.05,0.05,Matches
360,Christen Westphal,usUSA,"DF,MF",Houston Dash,31,1993,9,7,533.0,5.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
361,Ellie Wheeler,usUSA,DF,Current,23,2001,21,15,,14.6,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches
362,Mak Whitham,usUSA,FW,Gotham FC,14,2010,6,0,59.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
363,Kate Wiesner,usUSA,"DF,MF",Washington Spirit,23,2001,13,10,751.0,8.3,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,Matches
364,Ryan Williams,usUSA,"DF,MF",NC Courage,28,1996,26,26,,26.0,1,2,3,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,Matches
365,Arin Wright,usUSA,DF,Racing Louisville,32,1992,22,21,,21.2,1,2,3,1,0,0,1,0,0.05,0.09,0.14,0.05,0.14,Matches
366,Summer Yates,usUSA,MF,Orlando Pride,24,2000,16,5,559.0,6.2,0,1,1,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,Matches
367,Katie Zelem,engENG,MF,Angel City FC,29,1996,15,6,585.0,6.5,2,0,2,2,0,0,2,0,0.31,0.0,0.31,0.31,0.31,Matches
368,Claudia Zornoza,esESP,MF,Royals,34,1990,24,24,,22.2,1,2,3,1,0,0,2,0,0.05,0.09,0.14,0.05,0.14,Matches
