ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
46,Jordan Brewster,usUSA,DF,Bay FC,24,1999,0.1,,,,,,,,,,,,,,,,,Matches
47,Isabella Briede,usUSA,MF,Houston Dash,25,1998,4.1,,,,,,,,,,,,,,,,,Matches
48,Messiah Bright,usUSA,FW,Angel City FC,24,2000,7.6,,,,,,,,,,,,,,,,,Matches
49,Courtney Brown,usUSA,MF,Washington Spirit,23,2000,10.5,,,,,,,,,,,,,,,,,Matches
50,Ryanne Brown,usUSA,DF,Reign,25,1999,3.1,,,,,,,,,,,,,,,,,Matches
51,Bruninha,brBRA,DF,Gotham FC,21,2002,9.6,,,,,,,,,,,,,,,,,Matches
52,Jordyn Bugg,usUSA,DF,Reign,17,2006,5.5,,,,,,,,,,,,,,,,,Matches
53,Zoe Burns,caCAN,"DF,MF",Royals,22,2002,14.7,,,,,,,,,,,,,,,,,Matches
54,Anaïg Butel,frFRA,DF,Washington Spirit,31,1992,21.2,,,,,,,,,,,,,,,,,Matches
55,Jenna Butler,,DF,Washington Spirit,,,0.0,,,,,,,,,,,,,,,,,Matches
56,Scarlett Camberos,mxMEX,"FW,MF",Bay FC,23,2000,7.7,,,,,,,,,,,,,,,,,Matches
57,Jane Campbell,usUSA,GK,Houston Dash,28,1995,25.0,,,,,,,,,,,,,,,,,Matches
58,Gabrielle Carle,caCAN,DF,Washington Spirit,25,1998,22.5,,,,,,,,,,,,,,,,,Matches
59,Jess Carter,engENG,DF,Gotham FC,26,1997,9.4,,,,,,,,,,,,,,,,,Matches
60,Kyra Carusa,ieIRL,FW,SD Wave,28,1995,7.0,,,,,,,,,,,,,,,,,Matches
61,Delphine Cascarino,frFRA,"MF,FW",SD Wave,26,1997,7.1,,,,,,,,,,,,,,,,,Matches
62,Deyna Castellanos,veVEN,"MF,FW",Bay FC,24,1999,11.8,,,,,,,,,,,,,,,,,Matches
63,Allysha Chapman,caCAN,DF,Houston Dash,35,1989,6.0,,,,,,,,,,,,,,,,,Matches
64,Temwa Chaŵinga,mwMWI,"MF,FW",Current,25,1998,23.8,,,,,,,,,,,,,,,,,Matches
65,Milly Clegg,nzNZL,FW,Racing Louisville,18,2005,0.2,,,,,,,,,,,,,,,,,Matches
66,Mikayla Cluff,usUSA,MF,Royals,24,1999,5.3,,,,,,,,,,,,,,,,,Matches
67,Sam Coffey,usUSA,MF,Portland Thorns,25,1998,22.1,,,,,,,,,,,,,,,,,Matches
68,Danielle Colaprico,usUSA,MF,SD Wave,30,1993,17.3,,,,,,,,,,,,,,,,,Matches
69,Caroline Conti,usUSA,MF,Bay FC,22,2001,1.1,,,,,,,,,,,,,,,,,Matches
70,Alana Cook,usUSA,DF,Reign,26,1997,9.4,,,,,,,,,,,,,,,,,Matches
71,Alana Cook,usUSA,DF,Current,26,1997,9.5,,,,,,,,,,,,,,,,,Matches
72,Ally Cook,,FW,Red Stars,,,2.4,,,,,,,,,,,,,,,,,Matches
73,Ava Cook,usUSA,FW,Red Stars,23,2000,1.1,,,,,,,,,,,,,,,,,Matches
